,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
163,0.5106,0.852,0.0,0.148,A search and rescue team of 9 people and a cadaver dog are searching the area where an SUV plunged off a California… https://t.co/bGMsAqXLf9,CBS News,64
164,0.2732,0.913,0.0,0.087,"""We have a little slogan we say, 'Worship, work and win.' We need to do all of those things. God always hears, but… https://t.co/M7KiCbT1QM",CBS News,65
165,0.0,1.0,0.0,0.0,"WATCH LIVE: Sister Jean Schmidt, Loyola-Chicago's team chaplain, gives a press conference ahead of the #FinalFour… https://t.co/w4Vi7Oz8MY",CBS News,66
166,-0.8439,0.676,0.324,0.0,"""I feel so bad for themI lost a child, I know how it feels,” Noor Salman’s cousin says to victims of Pulse nightclu… https://t.co/NnFdJTQcak",CBS News,67
167,0.34,0.912,0.0,0.088,"""I said from day one that she was innocent and that I will stand here in front of you when the jury comes up with t… https://t.co/9yyHq4zqCX",CBS News,68
168,0.0534,0.75,0.139,0.111,"""The family wants to first say we are very sorry for the family members and friends of the 49 victims of the Pulse… https://t.co/xFzLfWhgOe",CBS News,69
169,-0.1808,0.758,0.153,0.088,"Noor Salman, the wife of the Pulse nightclub shooter, cried when the not guilty verdict was read and so did the fam… https://t.co/W6Fq4UYKFL",CBS News,70
170,0.3612,0.844,0.0,0.156,"""I think many people will be surprised by the verdict, and perhaps others who followed the trial more closely won't… https://t.co/W6IolJGwhm",CBS News,71
171,0.3252,0.896,0.0,0.104,"NEW: Noor Salman, the wife of Pulse nightclub shooter Omar Mateen, found not guilty of aiding her husband with the… https://t.co/pNTpXnAJD7",CBS News,72
172,0.0,1.0,0.0,0.0,"WATCH: SpaceX Falcon 9 rocket launches into space from Vandenberg Air Force Base in California, carrying 10 communi… https://t.co/0rNRzxM0RK",CBS News,73
173,0.4019,0.856,0.0,0.144,Investigators on special counsel Robert Mueller's team have been asking questions about the 2016 Republican Nationa… https://t.co/J3G9omw3jP,CBS News,74
